LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),,grammar rules,numberOfQuestions
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,"What (dbo:City, X) is the capital/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},"the capital of (dbo:Country,Y) ",,2,
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,"What (dbo:Place, X) is the birth place/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthPlace ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Person,Y?) ",,,,,
